Hospital Name,Address,District ,City,State,Pincode
Shanti Memorial Hospital Pvt. Ltd,Thoria Sahi,Cuttack,Cuttack,Odisha,753009
Trisha Hospital,"At-Purighat,Po-Talatelengabazar,Pin-753009.Odisha",Cuttack,Cuttack,Odisha,753009
New Health Point Hospital,"Plot No-B/1505, At-Sector-6,Cda, Ps/Po-Markat Nagar, -Cuttack,",Cuttack,Cuttack,Odisha,753014
Ims & Sum Hospital,"K/8, Kalinga Nagar, Ghatikia",Khordha,Bhubaneswar,Odisha,751003
Kalinga Institute Of Medical Science,"Campus-5,Kiit University,Patia,Bhubaneswar",Khordha,Bhubaneswar,Odisha,751024
Shree Hospitals,"246, Lewis Road, Bhubaneswar",Khordha,Bhubaneswar,Odisha,751014
Sushruta Hospital & Trauma Care (P)Ltd.,"15, Forest Park ,Near Old Airport Square Bhubaneswar",Khordha,Bhubaneswar,Odisha,751009
Kar Vision Eye Hospital (A Unit Of Kar Vision Pvt Ltd),"10 Janpath,\Nsatyanagar\Nbhubaneswar - 751007\Nodisha",Khordha,Bhubaneswar,Odisha,751007
Sparsh Hospitals & Critical Care (P) Ltd,"A/407, Saheed Nagar 
Behind Metro Tower
Vani Vihar",Khordha,Bhubaneswar,Odisha,751007
Deepak Clinic -N- Nursing Home,"84 Dc, Saheed Nagar, Bhubaneswar",Khordha,Bhubaneswar,Odisha,751007
Astha Nursing Home,"Budharaja Road, Ainthapali",Sambalpur,Sambalpur,Odisha,768004
Twincity Hospital,At:-Plot No:-790 At:-Gandarpur Po:-College Square Ps:-Chauliaganj,Cuttack,Cuttack,Odisha,753003
Manipal Hospitals - Bhubaneswar,"Plot No.1 Beside Satyasai Enclave, Khandagiri",Khordha,Bhubaneswar,Odisha,751030
Sai Sanjeevani Hospital,"Bhaba Nagar Squre ,New Bus Stand ,Berhampur",Ganjam,Berhampur,Odisha,760004
Ahalya Hospital,"Pathargadia, Ps - Chandaka, Bhubaneswar, - Khurdha",Khordha,Kalarahanga,Odisha,751024
Surendra Hospital,"Gp - Mishrapada, Angul, Odisha-759122",Angul,Angul,Odisha,759122
Sankara Eye Hospital,"At: Samarjhola, Tahasil: Hinjilicut",Ganjam,Samarjhola,Odisha,761101
Seva Nursing Home,"Sakhipara, Birsamunda Marg",Sambalpur,Sambalpur,Odisha,768001
Kashinath Health Care,"At/Po -Sailang, Ps- Ghasipura, Dist Keonjhar Odisha",Keonjhar,Sailong,Odisha,758015
Medica Ts Hospital Pvt.Ltd,"Kalinganagar Industrial Complex
Po-Madhuban, Vill.-Gobarghati,(Near Duburi Chowk, Tata Steel Factory, Gate No-1), Kalinganagar
Dist- Jajpur, Pin-755026, Odisha",Jajpur,Gobarghati,Odisha,755026
Saijyoti Eye Hospital,Khantapada Balasore,Balasore,Khantapada,Odisha,756043
Swaraj Hospital And Research Institute,"Jyoti Nagar, Chamar Tikra, Patnagarh Road, Bolangir, Odisha,",Balangir,Balangir,Odisha,767002
Sai Kalinga Seba Sadan,"Sai Kalinga Seba Sadan At - Proffessorpara, Canal Road, In Front Of Sahara India  Po - College Chakka Ps - Mangalabag",Cuttack,Cuttack,Odisha,753001
Rohan Hospital,"Ranihat,Cuttack, Odisha",Cuttack,Cuttack,Odisha,753001
Chittaranjan Seva Sadan,"Alok Nagar, Niali",Khorda,Cuttack,Odisha,754004
Lainas Eye Hospital And Research Center,"Plot No-1872, Infront Of Patachandi Temple, Prajamandal Womens College Road, New Town, Nayagarh",Nayagarh,Nayagarh,Odisha,752069
Chitra Heart Hospital Private Limited,"Plot No : 298, Potapokhari, Nayabazar, Cuttack",Cuttack,Cuttack,Odisha,753004
Mishra Eye Care,"Potapokhari, Nayabazar, Cuttack",Cuttack  ,Cuttack  ,Odisha,753004
Sun Hospital,"Railway Station Road Junagarh, Kalahandi",Kalahandi,Bhainriguda,Odisha,766014
Jai Prakash Hospital And Research Centre Pvt.Ltd.,"Dayanand Nagar,Dandiapalli,Rourkela",Sundargarh,Vedvyas,Odisha,769004
Ray Hospital & Test Tube Baby Centre,"Plot No.X3-1 ,Civil Township Rourkela,",Sundargarh,Vedvyas,Odisha,769004
Jayashri Health Care &Research Center,"Issan Ngara , Balasware",Balasore,Balasore Court,Odisha,756001
Jbr Hospital,"Bhajanipur, Dera, Colliery, Angul",Angul,Dera,Odisha,759103
Lepra Mahanadi Eye Hospital,Pandapalli ,Subarnapur,Biramaharajpur,Odisha,767018
Tulip Care Hospital,"Plot No.570/3402, Surya Vihar, Arunodaya Market, Link Road, Cuttack-",Cuttack,Cuttack,Odisha,753012
Vesaj Patel Hospital,"H-4, Civil Township",Sundargarh,Rourkela,Odisha,769004
Shanti Motherhood &Multispeciality Hospital,"Uditnagar, Rourkela",Sundargarh,Uditnagar,Odisha,769012
New Life Hospital,"At- Sudpara, Po/Dist- Balangir Odisha",Balangir,Balangir,Odisha,767001
Om Suvam Hospital,"Ranihat Canal Road, College Square",Cuttack,Cuttack,Odisha,753001
Sun Hospital,"Jubuli Town, Deula Sahi, Dhenkanal",Dhenkanal,Dhenkanal,Odisha,759001
Sun Hospital Pvt. Ltd.,"Shrivihar Colony, Tulasipur",Cuttack,Cuttack,Odisha,753008
Debidurga Hospital,Dakhinakali Road  Near District Hospital Dhenkanal,Dhenkanal,Dhenkanal,Odisha,759001
Verma Eye Hospital,O 4/6 Civil Township,Sundargarh,Raurkela,Odisha,769012
New Appolo Hospital & Dignostic,"In Front Of Govt Medical Hospital,Radharanipada, Balangir",Balangir,Balangir,Odisha,767001
Shree Balaji Nursing Home,Near Balaji Temple Pradeshipara Bhawanipatna Kalahandi,Cuttack,Bhawanipatna Naktiguda,Odisha,766001
Maa Tarini Hospital Pvt.Ltd,"Champua, P.O- Champua, Via-Champua, P.S- Champua, Dist- Keonjhar",Keonjhar,Sasang,Odisha,758041
Vikash Binayak Hospital,"Front Of Lic Office Burla , Sambalpur",Sambalpur,Burla,Odisha,768017
Jay Krishna Hospital,"Kuruda, Nh16, Balasore,",Balasore,Balasore,Odisha,756056
Sri Raj Memorial Hospital,"Telengasahi Chaak,Near Police Line Square, Balasore,Odisha",Balasore,Balasore,Odisha,756001
Durga Clinic And Nursing Home,"Ananda Bazar, Baripada, Mayurbhanj.",Mayurbhanj,Baripada,Odisha,757001
Meenakshi Hospital,Church Road Ganjam,Ganjam,Brahampur,Odisha,760001
Rihf Rotary Club Of Bhubaneswar Royal Eye Care Center Trust,"105/A, Lingarajvihar, Pokhariput, Bhubaneswar, Khordha",Khorda,Pokhariput,Odisha,751020
Tarini Super Speciality Hospital Private Limited,"Plot No. 1889/3889, Khatiyan No. 888/269, At-Nk Bhawan, Emporium Lane, Ranihat, Po- Buxi Bazar, Ps- Mangalabag, Dist- Cuttack",Cuttack,Cuttack,Odisha,753001
Mantra Health Care (Unit Of Smartnex Hospital &Research Centre Llp ),".Plot No.1250, Bidyadharpur Nayabazar, Cuttack",Cuttack  ,Cuttack  ,Odisha,753004
Sunrise Hospital,"Floor No-1,2 Plot No-1637/5647/5648/5650 Back Side Of District  Head Qurter Hospital At/Po/Ps/Dist-Nayagarh-",Nayagarh,Nayagarh,Odisha,752069
Sai Netradham Eye Hospital,"Plot No-C/1135, Cda, Sector -6, Cuttack",Cuttack  ,Cuttack  ,Odisha,753014
Unik Hospital,"Plot No. 52/8720, Khatiyan No. 660/953, At -Mahanadi Vihar, Nadikula Sahi, Sikharpur, Post - College Square, Ps - Chauliaganj, Dist- Cuttack, Odisha",Cuttack  ,Cuttack  ,Odisha,753003
Sadguru Medical & Research Center Pvt.Ltd.,Jagatpur,Cuttack,Cuttack,Odisha,754021
Bhoomika Eye Hospital,"Plot No-138/67,Teisipur,Puri",Puri,Balapur,Odisha,752046
Royal Hospital And Research,"Plot No-1245,Peyton Sahi,Near Church, Buxi Bazar, Purighat Cuttack",Cuttack,Cuttack,Odisha,753001
Spandan Hospital And Research Centre,"Plot Number-944,At-Samant Sahi,Po-Buxibazar,Ps-Purighat,Dist-Cuttack",Cuttack,Cuttack,Odisha,753001
Blue Line Hospital Pvt Ltd,"Mohanty Pada,Infrontb Of Income Tax Colony,Sattichaura Chakk\Nnear Odisha High Court,Cuttack-753002",Cuttack,Cuttack,Odisha,753002
Sri Sri Ayurveda Hospital,"Sri Sri Vihar, Bidyadharpur, Ward No. 3, Po &Amp;Ndash; Godisahi, Cuttac",Cuttack,Cuttack,Odisha,754006
Vision Care Centre For Retina,"F/10, Chandaka Industrial Estate, Jagannath Mandir Lane, Behind Trident College,  Sailashree Vihar, Bhubaneswar, Khurda",Khorda,Sailashree Vihar,Odisha,751021
Prakash Eye Hospital,"Near  Tushi Motors Manglabag, Cuttack Odisha",Cuttack,Cuttack,Odisha,753001
Medcure Hospital (A Unit Of Medcure Institute Of Medical Sciences Pvt.Ltd),"At - New Colony, Kalyani Nagar, Po - Kalyani Nagar, Ps - Madhupatna, Dist - Cuttack",Cuttack,Cuttack,Odisha,753013
Aum Aarogya Hospitals Pvt Ltd,"Bhaba Nagar Main Road,New Bus Stand , Berhampur, Ganjam",Ganjam,Brahmapur,Odisha,760004
Jasodhara Life Hospital And Maternity Centre,"Haridakhandi Chaka, Aska Road ",Ganjam,Berhampur,Odisha,760006
Bhagyajyoti Hospital,"At- New Colony  Gandarpur                          Po-College Square                          Ps- Chauliaganj,                          Dist- Cuttack,                           State- Odisha",Cuttack,Cuttack,Odisha,753003
Ultra Care Nursing Home,"Pension Lane, Buxi Bazar Cuttack",Cuttack,Cuttack,Odisha,753001
Ispat Post Graduate Institute And Super Specialty Hospital Managed By Apollo Hospital,"Sector-19, Rourkela, Sundargarh, Odisha,",Sundargarh,Raurkela,Odisha,769005
Swasthya Multispeciality Hospital &  Trauma Care Centre,"Plot No: 3517, 3492 And 3491/3891, 161, Ward No. 34, Bhanpur,  Gopalpur, Nh-16, Ps: Cuttack Sadar,",Cuttack,Cuttack,Odisha,753011
Utkal Hospital,"Kaltagole Road, Mangola Bag",Cuttack,Cuttack,Odisha,753001
Bagchi Sri Shankara Cancer Centre And Research Institute,Idco Plot No A2 Po Janla Ps Info Valley Info City Ii Mouza Chandihata Dist Khordha Bhubaneswar Odisha,Khorda,Bhubaneshwar,Odisha,752054
Ims & Sum Hospital Campus Ii,"At: Khata No:649, Nakhara, Po: Phulnakhara,Block/Town: Bhubaneswar,Dist- Khorda,Odisha",Khorda,Kalyanpur,Odisha,754001
Sunayan Eye Care,"Ward No 10, Back Side Of Sp Office Bargarh",Bargarh,Bargarh,Odisha,768028
Asg Hospital Private Limited,"Plot No 588/978, Upper Ground Floor, Balaram Place, Baharabisinagar, Opp. Madhupatna Police Station, Link Road, Cuttack , Orissa",Cuttack,Cuttack,Odisha,753010
Ims & Sum Hospital,"Sitapalli ,  Po: Narendrapur,Dist- Ganjam,Odisha,760007",Ganjam,Brahmapur,Odisha,760007
Sairam Hospital,"At-Near Kali Mandira,Aurobindo Nagar-1St Lane,New Bus Stand Road,Berhampur,Ganjam,Odisha",Ganjam,Brahmapur,Odisha,760001
Ecos Eye Hospital,"3Roadtota Street, Bijipur, Bijipur, Berhampur",Ganjam,Brahampur,Odisha,760005
Cuttack Laparoscopic Hospital,"Plot No.566, New Lic Colony, Badambadi",Cuttack,Cuttack,Odisha,753012
Bhoomika Eye Hospital-Nayagarh,"College Road, Pts Chhak-Nayagarh",Nayagarh,Nayagarh,Odisha,752069
Bhoomika Eye Hospital Jarka Eye Unit.,"N.H.-16, Main Road, Jaraka-755050, Dist- Jajpur, Odisha",Jajpur  ,Jaraka,Odisha,755050
Bhoomika Eye Hospital,"At-Saradhapur, Po/Dist-Khordha-752055, Odisha",Khorda,Khurda,Odisha,752055
Bhoomika Eye Hospital - Baripada Unit,"Plot No: 494/2884, Po: Baripada, Ps: Baripada Sadar, Damodarpur, Dist: Mayurbhanj. Odisha, Pin Code: 757003.",Mayurbhanj,Goudadiha,Odisha,757003
Bhoomika Eye Hospital Soro,"Plot No.- 3,64/1400, Uttareswar, Kharida N.H.-16,Soro,Dist- Balasore, Pin- 756045,  Odisha",Balasore,Uttareswar,Odisha,756045
Sairam Care And Cure Hospital,"At - Bidyadharpur,  Po - Nayabazar,  Ps -Chauliaganj,  Dist - Cuttack,  Odisha,  Pin - 753004",Cuttack,Cuttack,Odisha,753004
Chanakya Hospital,"Canal Road, Ranihat",Cuttack,Cuttack,Odisha,753007
Laxmikant Healthcare,"Plot No-293/949 Near Iti Square Central School Road Balasore,",Balasore,Baleshwar,Odisha,756001
Sri Manakula Vinayagar Medical College And Hospital,"Kalitheerthal Kuppam, Madagadipet",Puducherry,Pondicherry,Pondicherry,605107
Vasan Eye Care Hospital,"#1, Villupuram Main Road, Indira Gandhi Square",Puducherry,Pondicherry,Pondicherry,605005
Dr Agarwal S Healthcare Ltd,N S I Avenue No 601 Kamaraj Salai\\Npakkamudiyampet Puducherry,Puducherry,Pondicherry,Pondicherry,605005
Davita Care India Private Limited,"Davita Care India Private Limited,
No.1, Sholai Nagar Main Road, Sholai Nagar, Muthialpet
",Puducherry,Pondicherry,Pondicherry,605003
Jothi Eye Care Centre,"#152 & 154, Calve Subraya Chetty, Street Opposite To Congress Office",Puducherry,Pondicherry,Pondicherry,605001
Be Well Hospitals,"#15, Lawspet, Green Gardens, Ecr",Puducherry,Pondicherry,Pondicherry,605008
Aarupadai Veedu Medical College And Hospital,"Puducherry - Cuddalore Main Road, Kirumambakkam, Puducherry- 607402.",Puducherry,Pondicherry,Pondicherry,607402
Ks Orthopaedic Centre,"#14, South Street, Kovil Pathu",Karaikal,Karaikal,Pondicherry,609602
Pondicherry Institute Of Medical Sciences,"Kalathu Mettu Pathai, Ganapathichettikulam, Village No.20, Kalapet",Puducherry,Pondicherry,Pondicherry,605014
Iswarya Fertility Services Pvt Ltd,"402, Indira Gandhi St, Sithananda Nagar, Junction, Puducherry",Puducherry,Pondicherry,Pondicherry,605005
Aravind Eye Hospital,"Cuddalore Main Road, Thavalakuppam",Puducherry,Pondicherry,Pondicherry,605007
Senthil Speciality Hospital,"10 & 12 Thillai Masteri St
Pondicherry",Puducherry,Pondicherry,Pondicherry,605001
Vinayaka Mission Super Speciality Hospital,Pondy-Cuddalore Main Road Kirumampakkam Puducherry,Puducherry,Pondicherry,Pondicherry,607403
Sri Venkateshwaraa Medical College Hospital And Research Centre,"#13 A Pondy Main Road, Ariyur",Puducherry,Pondicherry,Pondicherry,605102
Sri Lakshmi Narayana Institute Of Medical Sciences,"Osudu, Agaram Village, Villianur Commune, Kudapakkam Post, Pudhucherry ",Puducherry,Pondicherry,Pondicherry,605502
Fortis East Coast Hospital,"#1, Paris Nagar,Moolakulam,Puducherry",Puducherry,Pondicherry,Pondicherry,605010
A.G.Padmavati S Hospital Ltd,"R.S No :127/1A, Villianur Main Road, Arumparthapuram , Puducherry-605110",Puducherry,Pondicherry,Pondicherry,605110
"Gem Hospital, Pondicherry","01,Lawspetmain Road,Vinobha Nagar, Pakkamudiyanpet Pondicherry",Puducherry,Pondicherry,Pondicherry,605008
Mahatma Gandhi Medical College And Research Institute,"Pondy Cuddalore Main Road, Pillayarkuppam",Puducherry,Pondicherry,Pondicherry,607402
East Coast Hospital,"No. 90, Thiruvalluvar Salai, Pillai Thottam,
Pondicherry 605 013",Puducherry,Pondicherry,Pondicherry,605013
Rani Hospital,"#27, Near Rajiv Gandhi Statue, Vazhudhavur Road (Next To Collector Office)",Puducherry,Pondicherry,Pondicherry,605009
Clinic Nallam,"#86, Near Easwaran Kovil,Eswaran Kovil Street",Puducherry,Pondicherry,Pondicherry,605001
Imed Specilaity Hospital,"No.162/1, Point Care Street, Nellithope, Pondicherry- 605005",Puducherry,Pondicherry,Pondicherry,605005
"Rk Gastro Hospital,  Centre For Interventional And Hepatology.  (A Multispeciality Hospital)","No. C-23, Pipdic Main Road, Mettupalayam, Puducherry - 605009.",Puducherry,Moutrepaleam,Pondicherry,605009
Dhawan Nursing Home,"Khalra Road, Tarantarn",Tarn Taran,Tarn Taran,Punjab,143303
Life Kare Multi Speciality Hospital,"3, Nirankari Colony , F G C Road, Amritsar",Amritsar,Amritsar,Punjab,143001
Gurdev Hospital,"G.T. Road, Near Nirankari Bhawan Bathinda",Bathinda,Bathinda,Punjab,151001
Guru Drishti Eye Hospital,"18C, Gobind Colony, Near Jaap Sahib Gurudwara,  Rajpura",Patiala,Rajpura,Punjab,140401
Indrani Hospital,"Namdev Marg,Bathinda",Bathinda,Bathinda,Punjab,151001
Preet Hospital,"Fatehgarh Churian Road,
Near Ratan Singh Chowk",Amritsar,Amritsar,Punjab,143001
Raman Hospital,"Kitchlu Nagar Extension, Lane No.1, Opposite Ram Sharnam, Near Petrol Pump",Ludhiana,Ludhiana,Punjab,141001
Siddhi Hospital  Maternity Centre,"Plot No:- 90/14, Adjoining Railways Workshop, Near C.L.H. School, G.T. Road, Amritsar",Amritsar,Amritsar,Punjab,143001
Guru Nanak Hospital,"Near Jeevan Bhima Nigam Office,Sham Nagar",Patiala,Patiala,Punjab,140401
Khosla Stone Kidney And Surgical Centre,"#451, Model Town, Near Char Khambla Chowk",Ludhiana,Ludhiana,Punjab,141002
Pal Hospital Eyetec Clinics The Childern Centre,"Partap Bagh Opp Electricity Office, Jalandhar",Jalandhar,Jalandhar,Punjab,144001
Sangha Hospital,"Zail Singh Nagar, Near Radha Soami Satsang Bhawan",Rupnagar,Rupnagar,Punjab,140001
Dehli Child Care And Dental Hospital,"Near Dr-Gursharans Hospital, Gt Road, Bhatinda",Bathinda,Bathinda,Punjab,151001
Chodha Hospital,1102/956 Raj Nagar\\\\Nmain Kapurthala Road,Jalandhar,Jalandhar,Punjab,144021
Dashmesh Hospital,"Ill Mahal , Amritsar",Amritsar,Amritsar,Punjab,143105
Kular Hospitals Pvt Ltd,"Gt Road, Bija",Ludhiana,Ludhiana,Punjab,141412
New Lifeline Hospital,Ambala-Chandigarh National Highway21 Near Sale Tax Barrier Zirakpur,Mohali,Zirakpur,Punjab,140603
Shilpy Hopital,"Bxv393/2,Gill Road, Miller Ganj,",Ludhiana,Ludhiana,Punjab,141003
Sikka Hospital,#125  Sus  Nagar,Jalandhar,Jalandhar,Punjab,144001
Golden Hospital,"Golden Hospital, # Scf 10 & 11, Near M.S. Enclave Gate, Opp. Fort Mystic Resort, Old Ambala Road, Dhakaoli, Zirakpur, Punjab.",Mohali,Dhakaoli,Punjab,160104
Goyal Hospital,"B-1, Flower Enclave, 200 Feet Road, Dugri, Ludhiana. ",Ludhiana,Ludhiana,Punjab,141013
Jindal Heart Institute & Infertility Center,"#21373, Power House Road, Bathinda",Bathinda,Bathinda,Punjab,151001
Rattan Multispecialty Hospital & Diagnostic Centre,"Harcharan Nagar, St No-2&3, Near Shingar Cinema, Samrala Road, Ludhiana",Ludhiana,Ludhiana,Punjab,141008
Advanced Eye Care Centre ,"Water Works Road,Opp.State Bank Of India,Mansa",Mansa,Mansa,Punjab,151505
Cosmo Super Specialty Hospital," 100   Ft. Road, Near Dr. Maheshwari Hospital, Bathinda",Bathinda,Bathinda,Punjab,151001
Gumber Eye And Dental Care Centre,Gt Road Putlighar Amritsar,Amritsar,Amritsar,Punjab,143001
Longia Eye Hospital,"#54, Gurunanak Colony, Tehsil Patiala",Patiala,Patiala,Punjab,140401
Manu Arora Hospital (Unit Of Manu Arora Charitable Society),"Sun Sahib Road, Near Petrol Pump & Fci Godown Chheharta, Amritsar",Amritsar,Amritsar,Punjab,143001
Mata Shiv Devi Memorial Noble Hospital,"Behind Jain Mandir,Dhandra Road, Dugri, Ludhiana",Ludhiana,Ludhiana,Punjab,141013
"Mittal Eye Care,Sangrur","S.C.F 32
Maharaja Ranjit Singh Market
Outside Sunami Gate
Sangrur",Sangrur,Sangrur,Punjab,148001
Nirmal Hospital,Gole Market Mandi Gobindgarh,Fatehgarh Sahib,Fatehgarh Sahib,Punjab,147301
Nova Medicity A Multispeciality Hospital ,"Opp Ryan Int. School, Pritam Enclave , G.T Road , Bye Pass ",Amritsar,Amritsar,Punjab,143001
Punjab Cancer Care And Multispeciality Hospital,"Goniana Road, Near Tinkoni, Opp Dayal Kidney Hospital, Bathinda 151001",Bathinda,Bathinda,Punjab,151001
Radiance Hospital ( A Unit Of Singla Healthcare And Life Sciences),Opp. Jtpl City Sector 127 Kharar Landran Road Kharar Mohali,Mohali,Mohali,Punjab,140307
Raj Hospital,"Simbal Chowk, Jalandhar - Dalhousie Bypass, Mamun, ",Pathankot,Pathankot,Punjab,145001
Santosh Hospital,"Scf - 101-A, Shree Balaji Enclave - 1, (Near Yes Bank) Patiala Road, Zirakpur",Mohali,Zirakpur,Punjab,140603
Shri Krishna Netralaya & Dantalaya,"State Highway 22,
Village Brahmpur,
Nangal",Rupnagar,Nangal,Punjab,140124
Sood Eye Care Centre,"Mission Compound, Near Batra Hospital Adarsh Nagar",Jalandhar,Jalandhar,Punjab,144005
Virk Hospital  Maternity Home,"#192-193, Guru Hargobind Nagar",Kapurthala,Phagwara,Punjab,144401
Bombay Gastro  Cancer Institute,"Power House Road, Near Malwa Hospital, Bathinda",Bathinda,Bathinda,Punjab,151001
Dr Daljit Singh Eye Hospital," 1 Radha Swami Road, The Mall Gpo",Amritsar,Amritsar,Punjab,143006
Mahajan Hospital,Near Normal School Hardochhanni Road Gurdaspur,Gurdaspur,Gurdaspur,Punjab,143521
Med Card Multispeciality Hospital,"(Unit Of Mohindera Health Services) \Ntarn Taran Road, Amritsar",Amritsar,Amritsar,Punjab,143001
Ohri Hospital/Ohri Chest & Multi Speciality Hospital,"Putlighar, Opposite Railway Workshop, Gt Road, Gpo",Amritsar,Amritsar,Punjab,143002
"Sri Guru Ram Das Charitable Hospital, Mehta Road, Vallah","Mehta Road, Vallah",Amritsar,Amritsar,Punjab,143006
Baweja Hospital  Maternity Home,"Model House Nr. Sati Mata Mandir, Basti Shekh Road,  Jalandhar",Jalandhar,Jalandhar,Punjab,144001
Jindal Ent Hospital,"Opposite St No. 8, Power House Road,Bathinda",Bathinda,Bathinda,Punjab,151001
Oxford Hospital Pvt Ltd,"#305, Near Nakodar Chowk, Lajpat Nagar",Jalandhar,Jalandhar,Punjab,144001
Phull Neuro And Multispeciality Hospital,"Adjoining Maharaja Enclave, Near P.R.T.C Workshop",Patiala,Patiala,Punjab,147001
Sant Clinic & Maternity Home,"#200-A, Pbi, Bagh",Patiala,Patiala,Punjab,147001
Dr. Ramesh Superspecialty Eye  Laser Centre,"65-A, Bhai Randhir Singh, Nagar, Ferozepur Road,",Ludhiana,Ludhiana,Punjab,141012
Hope Hospital,"28-B, Tagore Nagar Opp, Hero Dmc, Ludhiana, Punjab -141001",Ludhiana,Ludhiana,Punjab,141001
Maan Superspeciality Hospital,"Ajit Road St.No 31 , Near Gurdwara Sahib, Bathinda",Bathinda,Bathinda,Punjab,151001
Goodwill Hospital And Maternity Home,"Hosairpur Road, Rama Mandi , Jalandhar , Jalandhar , Punjab",Jalandhar,Jalandhar,Punjab,144005
Arogya Hospital,Near Baba Balak Nath Mandir Jassian Road Habowal Kalan Ludhiana ,Ludhiana,Ludhiana,Punjab,141001
Mitra Eye Hospital,"New Patel Nagar,Opposite Jasbhir Hospital",Kapurthala,Phagwara,Punjab,144401
B.D. Memorial Hospital,"Opposite Dhobi Ghat, Hakima Gate, Amritsar",Amritsar,Amritsar,Punjab,143001
Jp Eye Hospital,"Kothi No.35, Phase-7, Sector-62, Sas Nagar",Mohali,Mohali,Punjab,160062
Kg Eye Care Centre,"Tehsil Road,Opposite Oriental Bank\\\\\\\\Nsamana",Patiala,Patiala,Punjab,147001
Rrm Central Hospital,"Sutheri Road, Manavta Nagar, Central Town,Hoshiarpur",Hoshiarpur,Hoshiarpur,Punjab,146001
Babbar Heart Care Centre And General Hospital,Govt College Road,Gurdaspur,Gurdaspur,Punjab,143521
Carewell Heart  Super Speciality Hospital,"Model Town, Opposite Chief Khalsa Diwa, Gt Road",Amritsar,Amritsar,Punjab,143001
Jyoti Parkash Eye Care Centre,"Shitla Mata Mandir, Near Rr Bawa College, Smadh Road, Batala",Gurdaspur,Batala,Punjab,143505
Kalia Eye & Maternity Hospital,"Opposite To Delhi Gate, Opposite Manjit Palace, Near Baba Kheterpal Mandir",Firozpur,Firozpur,Punjab,152002
Mittal Eye Care Centre,"C/O Dr Nitin Mittal, Mittal Eye Care Centre, Peer Khana Road",Ludhiana,Khanna,Punjab,141401
Arora Nursing Home,Kila Road Tehsil Phillaur  Jalandhar,Jalandhar,Phillaur,Punjab,144410
Bawa Hospital,"Near Old Dandi Swami Mandir, Civil Lines",Ludhiana,Ludhiana,Punjab,141001
Tricity Eye Hospital,"Sco48, Sector125 New Sunny Enclave,Distt Sas Nagar, Mohali,Punjab-140301",Rupnagar,Rupnagar,Punjab,140301
Anand Hospital And Heart Care Centre,"Chatwind Gate, Near Nishat Cinema, Chowk Chabutra, Nimak Mandi",Amritsar,Amritsar,Punjab,143001
Arora Hospital,"Grand Trunk Road, Chheharta, Gpo",Amritsar,Amritsar,Punjab,143005
Bajwa Hospital,"#315, Akash Avenue, Fatehgarh Churian Mathija Road, Gpo",Amritsar,Amritsar,Punjab,143001
Indus Hospital,"245, Barewal Road, Madhuban Enclave, Ludhiana,",Ludhiana,Ludhiana,Punjab,141012
Rana Clinic And Hospital,"Opposite Telephone Exchange Chandigarh Road Khamanon,Fatehgarh Sahib",Fatehgarh Sahib,Fatehgarh Sahib,Punjab,141801
Wadi Hospital,"Near Pukhraj Cinema, Gt Road",Bathinda,Bathinda,Punjab,151001
Sage Mediclinic,"Plot No .1 Sector 123, Sunny Enclave, S.A.S Nagar Sahibzada Ajit Singh Nagar, S.A.S Nagar",Rupnagar,Kharar,Punjab,140301
Aashirwad Eye  Ent Care Centre,"Sco 17, Peer Machalla,  Adj. Sector 20, Panchkula, Zirakpur",Mohali,Dhakaoli,Punjab,160104
Altec Laser & Super Speciality Centre,Ranjit Avenue Amritsar ,Amritsar,Amritsar,Punjab,143001
Amen Hospital,"Amloh Road, Khanna, Near As Girls College , Ludhiana",Ludhiana,Khanna,Punjab,141401
Badri Nath Hospital,"Fatehgarh Churian Road, Nangali Asr, Opposite Pioneer School",Amritsar,Amritsar,Punjab,143001
D.S Multispeciality Hospital,"Navi Sarak, Bhai Manj Road, Opp. Horizon Building (Flats), Tarn Taran Road, Amritsar .143001",Amritsar,Amritsar,Punjab,143001
Ajit Hospital,"#309, Green Avenue, Old Jail Road, Gpo",Amritsar,Amritsar,Punjab,143001
Bagga Nursing Home,"84 C, Sco, Phase 1, Urban Estate, Dugri  Road, Ludhiana",Ludhiana,Ludhiana,Punjab,141003
Rp Arora Medicity,"Near Railway Station Chowk, Bsf Road Gurdaspur, Punjab",Gurdaspur,Gurdaspur,Punjab,143521
Bal Hospital  Maternity Hospital,"Kalia Colony, Near Verka Milk Plant, Maqsuda Bye-Pass , G.T Road, Jalandhar",Jalandhar,Jalandhar,Punjab,144004
Bhargava Advanced Gyne Surgery Cancer Centre,"212, New Jawahar Nagar, Near Chunmun Mall, Jalandhar City",Jalandhar,Jalandhar,Punjab,144001
Romana Hospital,"Babar House Road,Gali No.-10,Near-Savior School",Bathinda,Bathinda,Punjab,151001
Simran Hospital,"Khem Karan Road, Bhikhiwind, Teh Patti, District Tarn Taran ",Tarn Taran,Bhikhiwind,Punjab,143303
Singhania Hospital,"Old Lakkar Mandi, Gpo",Amritsar,Amritsar,Punjab,143001
Bansal Hospital And Cancer Centre,100 Feet Road,Bathinda,Bathinda,Punjab,151001
Mg Hospital,"Bibi Wala Road, Street No 1 Corner( Main Road), Near Hotel Krishna Continental, Bathinda",Bathinda,Bathinda,Punjab,151001
Star Superspeciality,"9A, Link Road, Jalandha",Jalandhar,Jalandhar,Punjab,144003
